Subject,BHV1,BRSV,BVDV1,BVDV2
14007,144,144,144,144
14009,,,,144
14013,145,145,145,145
14015,143,143,143,143
14017,143,143,143,143
14021,,,,146
14023,142,142,142,142
14029,,,,142
14031,142,142,142,142
14033,142,142,142,142
14035,141,141,141,141
14037,140,140,140,140
14039,,,,140
14043,140,140,140,140
14045,,,,139
14047,139,139,139,139
14051,,,139,139
14053,138,138,138,138
14055,138,138,138,138
14057,138,138,138,138
14061,138,138,138,138
14063,138,138,138,138
14065,137,137,137,137
14067,137,137,137,137
14069,137,137,137,137
14071,,,,146
14073,137,137,137,137
14075,137,137,137,137
14077,,,,146
14079,137,137,137,137
14081,136,136,136,136
14083,,,,145
14085,136,136,136,136
14089,136,136,136,136
14091,136,136,136,136
14093,136,136,136,136
14095,136,136,136,136
14097,135,135,135,135
14101,135,135,135,135
14103,135,135,135,135
14105,,,,145
14107,135,135,135,135
14109,,,,141
14111,135,135,135,135
14113,134,134,134,134
14115,,,,141
14119,,,,140
14121,134,134,134,134
14123,134,134,134,134
14125,,,,140
14127,134,134,134,134
14129,,,,139
14133,133,133,133,133
14135,,,,133
14137,133,133,133,133
14139,133,133,133,133
14141,133,133,133,133
14143,133,133,133,133
14145,132,132,132,132
14147,132,132,132,132
14149,132,132,132,132
14151,131,131,131,131
14153,130,130,130,130
14155,130,130,130,130
14157,129,129,129,129
14159,127,127,127,127
14161,123,123,123,123
14163,123,123,123,123
14165,123,123,123,123
14167,,,,121
14169,117,117,117,117
14171,117,117,117,117
14173,116,116,116,116
14175,113,113,113,113
14177,113,113,113,113
14179,113,113,113,113
14181,112,112,112,112
14183,110,110,110,110
14185,,,,110
14187,110,110,110,110
14189,110,110,110,110
14191,110,110,110,110
14195,105,105,105,105
14197,,,,140
14199,,,,105
14201,145,145,145,145
14203,145,145,145,145
14205,146,146,146,146
14207,143,143,143,143
14209,143,143,143,143
14213,140,140,140,144
14215,142,142,142,142
14217,141,141,141,141
14219,140,140,140,140
14221,138,138,138,138
14223,137,137,137,137
14225,131,131,131,131
14227,131,131,131,131
14229,130,130,130,130
14231,126,126,126,126
14233,130,130,130,130
14235,124,124,124,124
14237,124,124,124,124
14239,122,122,122,122
14241,,,,141
14243,122,122,122,122
14245,120,120,120,120
14247,121,121,121,121
14249,118,118,118,118
14251,117,117,117,117
14253,117,117,117,117
14255,116,116,116,116
14259,120,120,120,120
14261,117,117,117,117
14263,116,116,116,116
14265,116,116,116,116
14267,115,115,115,115
14271,115,115,115,115
14273,115,115,115,115
14275,114,114,114,114
14277,113,113,113,113
14279,111,111,111,111
14281,111,111,111,111
14283,111,111,111,111
14285,112,112,112,112
14287,112,112,112,112
14291,108,108,108,108
14297,107,107,107,107
14299,106,106,106,106
14301,106,106,106,106
14303,106,106,106,106
14307,105,105,105,105
14309,100,100,100,100
14311,98,98,98,98
14313,97,97,97,97
14315,97,97,97,97
14317,97,97,97,97
14319,,,,136
14321,97,97,97,97
14323,94,94,94,94
14325,95,95,95,95
14327,94,94,94,94
14329,91,91,91,91
14331,91,91,91,91
14333,,,,135
14335,89,89,89,89
14337,87,87,87,87
14339,,,,133
14341,,,,134
14343,88,88,88,88
14345,85,85,85,85
14347,83,83,83,83
14349,83,83,83,83
14351,81,81,81,81
14353,,,,133
14355,144,144,144,144
14357,141,141,141,141
14359,138,138,138,138
14361,137,137,137,137
14363,,,,133
14365,137,137,137,137
14367,128,128,128,128
14369,,,,131
14371,116,116,116,116
14373,115,115,115,115
14375,136,136,136,136
14377,112,112,112,112
14379,106,106,106,106
14381,79,79,79,79
14383,202,202,202,202
14385,202,202,202,202
14387,200,200,200,200
14389,200,200,200,200
14391,166,166,166,166
14393,,,,126
14395,,,,124
14399,166,166,166,166
14401,167,167,167,167
14403,200,200,200,200
14405,,,,125
14407,199,199,199,199
14409,165,165,165,165
14411,,,,122
14413,,,,122
14415,,,,122
14419,165,165,165,165
14421,,,,122
14423,165,165,165,165
14425,,,,119
14427,,,,112
14429,164,164,164,164
14431,165,165,165,165
14433,197,197,197,197
14435,,,,110
14437,196,196,196,196
14439,,,,110
14445,196,196,196,196
14447,196,196,196,196
14455,196,196,196,196
14457,198,198,198,198
14459,196,196,196,196
14461,198,198,198,198
14463,197,197,197,197
14465,198,198,198,198
14467,196,196,196,196
14471,,,,109
14475,198,198,198,198
14477,198,198,198,198
14479,196,196,196,196
14481,196,196,196,196
14483,198,198,198,198
